,Num_DRS,DRS,Num_GVE,GVE,Num_Região_Saúde,RegiãodeSaúde,Município,SE01,SE02,SE03,SE04,SE05,SE06,SE07,SE08,SE09,SE10,SE11,SE12,SE13
426,16,Sorocaba,XXXI,SOROCABA,35163,SOROCABA,353790 Pilar do Sul,0,0,0,0,0,0,0,0,0,0,0,0,0
427,17,Taubaté,XXXIII,TAUBATÉ,35174,V. PARAÍBA-REG. SERRANA,353800 Pindamonhangaba,0,0,0,0,0,0,0,0,0,0,0,0,0
428,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35151,CATANDUVA,353810 Pindorama,0,0,0,0,0,0,0,0,0,0,0,0,0
429,7,Campinas,XVII,CAMPINAS,35071,BRAGANÇA,353820 Pinhalzinho,0,0,0,0,0,0,0,0,0,0,0,0,0
430,11,Presidente Prudente,XXII,PRESIDENTE VENCESLAU,35114,EXTREMO OESTE PAULISTA,353830 Piquerobi,0,0,0,0,0,0,0,0,0,0,0,0,0
431,17,Taubaté,XXXIII,TAUBATÉ,35172,CIRCUITO DA FÉ - VALE HISTÓRICO,353850 Piquete,0,0,0,0,0,0,0,0,0,0,0,0,0
432,7,Campinas,XVII,CAMPINAS,35071,BRAGANÇA,353860 Piracaia,0,0,0,0,0,0,0,0,0,0,0,0,0
433,10,Piracicaba,XX,PIRACICABA,35103,PIRACICABA,353870 Piracicaba,0,0,0,0,0,0,0,0,0,0,0,0,0
434,6,Bauru,XVI,BOTUCATU,35061,VALE DO JURUMIRIM,353880 Piraju,0,0,0,1,0,0,0,0,0,0,0,0,0
435,6,Bauru,XV,BAURU,35062,BAURU,353890 Pirajuí,0,0,0,0,0,0,0,0,0,0,0,0,0
436,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35151,CATANDUVA,353900 Pirangi,0,0,0,0,0,0,0,0,0,0,0,0,0
437,1,São Paulo,X,OSASCO,35014,ROTA DOS BANDEIRANTES,353910 Pirapora do Bom Jesus,0,0,0,0,0,0,0,0,0,0,0,0,0
438,11,Presidente Prudente,XXI,PRESIDENTE PRUDENTE,35112,ALTA SOROCABANA,353920 Pirapozinho,0,0,0,0,0,0,0,0,0,0,0,0,0
439,10,Piracicaba,XX,PIRACICABA,35101,ARARAS,353930 Pirassununga,0,0,0,0,0,0,0,0,0,0,0,0,0
440,6,Bauru,XV,BAURU,35062,BAURU,353940 Piratininga,0,0,0,0,0,0,0,1,0,0,0,0,0
441,13,Riberão Preto,XXIV,RIBEIRÃO PRETO,35131,HORIZONTE VERDE,353950 Pitangueiras,0,0,0,0,0,0,0,0,0,0,0,0,0
442,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,353960 Planalto,0,0,0,0,0,0,0,0,0,0,0,0,0
443,9,Marília,XIII,ASSIS,35092,ASSIS,353970 Platina,0,0,0,0,0,0,0,0,0,0,0,0,0
444,1,São Paulo,VIII,MOGI DAS CRUZES,35011,ALTO DO TIETÊ,353980 Poá,0,0,0,0,0,0,0,0,0,0,0,0,0
445,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,353990 Poloni,0,0,0,0,0,0,0,0,0,0,0,0,0
446,9,Marília,XIX,MARÍLIA,35093,MARÍLIA,354000 Pompéia,0,0,0,0,0,0,0,0,0,0,0,0,0
447,6,Bauru,XV,BAURU,35065,LINS,354010 Pongaí,0,0,0,0,0,0,0,0,0,0,0,0,0
448,13,Riberão Preto,XXIV,RIBEIRÃO PRETO,35131,HORIZONTE VERDE,354020 Pontal,0,0,0,0,2,0,0,0,1,2,1,0,0
449,15,São José do Rio Preto,XXX,JALES,35153,JALES,354025 Pontalinda,0,0,0,0,0,0,0,0,0,0,0,0,0
450,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35157,VOTUPORANGA,354030 Pontes Gestal,0,0,0,0,0,0,0,0,0,0,0,0,0
451,15,São José do Rio Preto,XXX,JALES,35154,FERNANDÓPOLIS,354040 Populina,0,0,0,0,0,0,0,0,0,0,0,0,0
452,6,Bauru,XVI,BOTUCATU,35063,POLO CUESTA,354050 Porangaba,0,0,0,0,0,0,0,0,0,0,0,0,0
453,16,Sorocaba,XXXI,SOROCABA,35163,SOROCABA,354060 Porto Feliz,0,0,0,0,0,0,0,0,0,0,0,0,0
454,3,Araraquara,XII,ARARAQUARA,35034,CORAÇÃO DO DRS III,354070 Porto Ferreira,0,0,0,0,0,0,0,0,0,1,0,0,0
455,17,Taubaté,XXXIII,TAUBATÉ,35172,CIRCUITO DA FÉ - VALE HISTÓRICO,354075 Potim,0,0,0,0,0,0,0,0,0,1,0,0,0
456,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35155,SÃO JOSÉ DO RIO PRETO,354080 Potirendaba,0,1,0,0,0,0,0,0,0,0,0,0,0
457,9,Marília,XIX,MARÍLIA,35091,ADAMANTINA,354085 Pracinha,0,0,0,0,0,0,0,0,0,0,0,0,0
458,13,Riberão Preto,XXIV,RIBEIRÃO PRETO,35131,HORIZONTE VERDE,354090 Pradópolis,0,0,0,0,0,0,0,0,0,0,0,0,0
