,Num_DRS,DRS,Num_GVE,GVE,Num_Região_Saúde,RegiãodeSaúde,Num_Municipio
103,1,São Paulo,IX,FRANCO DA ROCHA,35012,FRANCO DA ROCHA,350920
104,12,Registro,XXIII,REGISTRO,35121,VALE DO RIBEIRA,350925
105,5,Barretos,XIV,BARRETOS,35051,NORTE-BARRETOS,350930
106,13,Riberão Preto,XXIV,RIBEIRÃO PRETO,35133,VALE DAS CACHOEIRAS,350940
107,16,Sorocaba,XXXI,SOROCABA,35161,ITAPETININGA,350945
108,7,Campinas,XVII,CAMPINAS,35072,REG METRO CAMPINAS,350950
109,7,Campinas,XVII,CAMPINAS,35073,JUNDIAÍ,350960
110,17,Taubaté,XXXIII,TAUBATÉ,35174,V. PARAÍBA-REG. SERRANA,350970
111,9,Marília,XIX,MARÍLIA,35093,MARÍLIA,350980
112,12,Registro,XXIII,REGISTRO,35121,VALE DO RIBEIRA,350990
113,17,Taubaté,XXXIII,TAUBATÉ,35172,CIRCUITO DA FÉ - VALE HISTÓRICO,350995
114,9,Marília,XIII,ASSIS,35092,ASSIS,351000
115,3,Araraquara,XII,ARARAQUARA,35033,NORTE DO DRS III,351010
116,9,Marília,XIII,ASSIS,35094,OURINHOS,351015
117,16,Sorocaba,XXXI,SOROCABA,35161,ITAPETININGA,351020
118,16,Sorocaba,XXXI,SOROCABA,35163,SOROCABA,351030
119,10,Piracicaba,XX,PIRACICABA,35103,PIRACICABA,351040
120,17,Taubaté,XXVIII,CARAGUATATUBA,35173,LITORAL NORTE,351050
121,1,São Paulo,X,OSASCO,35014,ROTA DOS BANDEIRANTES,351060
122,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35157,VOTUPORANGA,351070
123,14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,35143,RIO PARDO,351080
124,13,Riberão Preto,XXIV,RIBEIRÃO PRETO,35133,VALE DAS CACHOEIRAS,351090
125,2,Araçatuba,XI,ARAÇATUBA,35022,LAGOS DO DRS II,351100
126,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35151,CATANDUVA,351110
127,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35151,CATANDUVA,351120
128,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35155,SÃO JOSÉ DO RIO PRETO,351130
129,6,Bauru,XVI,BOTUCATU,35061,VALE DO JURUMIRIM,351140
